	Neighborhood	Neighborhood Latitude	Neighborhood Longitude	Venue	Venue ID	Venue Latitude	Venue Longitude	Venue Category	Rating	Likes
54	2nd Street Disrict, Arts District, Brush Park, Congress Ave District, Palm Park, Republic Square Park, South Congress, Warehouse District, Waterloo Park	30.272	-97.742	BD Riley's Irish Pub	4388f700f964a520152b1fe3	30.26772921278519	-97.74116722489705	Irish Pub	7.6	177
120	6th Street Disrict, 6th Street District, Convention Center District, Downtown, Red River District	30.2695	-97.72800000000001	Buenos Aires Cafe, Este	4a077e41f964a5206e731fe3	30.264282332445575	-97.73038051378104	Argentinian Restaurant	8.1	97
156	6th Street Disrict, 6th Street District, Convention Center District, Downtown, Red River District	30.2695	-97.72800000000001	Seven Grand	593c96849ec3995c0c49fbc5	30.267672741079267	-97.7385535807741	Whisky Bar	8.6	23
208	UT, University of Texas (UT)	30.282	-97.738	CoCo's Cafe	4adf782cf964a520e07a21e3	30.282542485378396	-97.74226303342711	Taiwanese Restaurant	7.7	70
220	UT, University of Texas (UT)	30.282	-97.738	Burrito Factory	4ba8f8bdf964a52031ff39e3	30.28344437946333	-97.7413223453458	Burrito Place	7.4	11
385	East Austin	30.27	-97.7	Zhi Tea	4ae7657cf964a520f0aa21e3	30.261206378428675	-97.69785778525608	Tea Room	8.5	26
575	Bryker Woods, Old Enfield, Windsor Road	30.293	-97.749	Cabo Bob's	5261db9511d2b9ed254233d6	30.295860957069518	-97.74401532643064	Burrito Place	8.8	104
678	Auditorium Shores, Barton Springs, Bouldin Creek, Dawson, Galindo, South Lamar, South River City, St. Edwards, Town Lake Park (Town Lake), Zilker	30.244	-97.763	Winebelly	52169f0711d26dd8be94f30a	30.24143544949054	-97.75893612893452	Tapas Restaurant	8.8	99
687	Auditorium Shores, Barton Springs, Bouldin Creek, Dawson, Galindo, South Lamar, South River City, St. Edwards, Town Lake Park (Town Lake), Zilker	30.244	-97.763	Soup Peddler Real Food & Juice Bar	4ff0f46a011c9ad2fa340562	30.24629814594292	-97.75604467832498	Soup Place	8.7	69
691	Auditorium Shores, Barton Springs, Bouldin Creek, Dawson, Galindo, South Lamar, South River City, St. Edwards, Town Lake Park (Town Lake), Zilker	30.244	-97.763	Phoebe's Diner	59b2ff121499466c7a7a23c2	30.241796258663893	-97.75922149104917	Comfort Food Restaurant	8.0	25
719	Auditorium Shores, Barton Springs, Bouldin Creek, Dawson, Galindo, South Lamar, South River City, St. Edwards, Town Lake Park (Town Lake), Zilker	30.244	-97.763	Barlata	519523f1498ec02c62bb194a	30.252468	-97.764229	Tapas Restaurant	8.3	118
753	Auditorium Shores, Barton Springs, Bouldin Creek, Dawson, Galindo, South Lamar, South River City, St. Edwards, Town Lake Park (Town Lake), Zilker	30.244	-97.763	La P̢tisserie	4cfa65e920fe370484024df8	30.24767882736134	-97.75617956062462	Pastry Shop	7.8	44
819	South Austin (Austin del Sur)	30.2075	-97.82	Sichuan River	53f41155498e988806aab96a	30.230921417203813	-97.80241803862782	Szechuan Restaurant	8.7	31
832	South Austin (Austin del Sur)	30.2075	-97.82	Biryani-N-Grill	56e8b198498ecb451961689f	30.215020503824704	-97.83337492492325	South Indian Restaurant	7.7	12
1103	Heritage, North University, Shoal Crest, The Drag, West University	30.292	-97.734	Aster's Ethiopian Restaurant	4aceefb7f964a52013d220e3	30.28732	-97.72503	Ethiopian Restaurant	8.1	61
1239	Alamo Park, Blackland (Rogers-Washington-Holy Cross), Cherrywood, Mt Calvary Cemetery	30.285	-97.715	Yuyo	59dea6d04c9be64e04acfbc5	30.284029480528538	-97.72171291156218	Peruvian Restaurant	7.5	8
1269	Upper Boggy Creek	30.296	-97.69900000000001	Xian Sushi & Noodle	525d8fa5498e73e322f6ebe0	30.30284128293787	-97.69908232723816	Noodle House	8.1	86
1285	Upper Boggy Creek	30.296	-97.69900000000001	B.D. Riley's Irish Pub at Mueller	58c72da78ab03f1ed5f9277e	30.298117056049072	-97.70500174731615	Irish Pub	6.1	24
1310	Oriens Park, Pecan Springs-springdale, Rmma, University Hills, Windsor Park	30.307	-97.683	Xian Sushi & Noodle	525d8fa5498e73e322f6ebe0	30.30284128293787	-97.69908232723816	Noodle House	8.1	86
1393	Northwest Austin (NW Austin)	30.3845	-97.80799999999999	Troy	5436c7d8498ed356390d3808	30.371653112401052	-97.75690392992169	Turkish Restaurant	8.5	23
1536	Bratton, Bratton Lane Business Park, Limestone Ridgeapts, Northridge Acres, Prologis, Wells Branch, William Carl Young	30.446	-97.681	Portobello	55a151cd498e3ac2446b1e37	30.436309089212017	-97.68451117583463	Brazilian Restaurant	6.1	7
1916	Southeast Austin (SE Austin)	30.1575	-97.75	Teapioca Lounge	4f348c3f7bebf16206886b93	30.16066074885062	-97.7912891824179	Tea Room	8.3	54
2143	Westgate	30.231	-97.828	Luby's	4ba40aa1f964a520d77a38e3	30.231674	-97.819699	Comfort Food Restaurant	6.5	29
2238	Hyde Park, North Loop, Triangle State	30.308	-97.725	Vino Vino	49bed457f964a520e5541fe3	30.306973439237805	-97.73528100295786	Wine Bar	8.4	95
2242	Hyde Park, North Loop, Triangle State	30.308	-97.725	Soup Peddler	56a121e6498e5b081d165b36	30.306512048264832	-97.71551372186164	Soup Place	8.1	12
2350	Coronado Hills, Highland, Highland North, Highland South, St. Johns	30.331	-97.699	Lima Criolla Peruvian Restaurant	4d8cbe27d00a6ea8e168914f	30.326316305691694	-97.70758777856827	Peruvian Restaurant	7.7	29
2351	Coronado Hills, Highland, Highland North, Highland South, St. Johns	30.331	-97.699	Habesha	50f04fa4e4b002d1a54c892b	30.32127467	-97.7057905	Ethiopian Restaurant	8.1	35
2358	Coronado Hills, Highland, Highland North, Highland South, St. Johns	30.331	-97.699	Luby's	4b632f82f964a52002692ae3	30.334325	-97.688205	Comfort Food Restaurant	7.6	34
2445	Georgian Acres, Heritage Hills, North Lamar, Windsor Hills	30.371	-97.672	New Fortune Chinese Seafood Restaurant	5468ecfe498e87b191079be1	30.37784779038532	-97.68809553907404	Cantonese Restaurant	8.6	78
2824	North Burnet	30.3925	-97.7355	Estancia Churrascaria Brazilian Steakhouse	4ea73125b8f7ff211a5ef903	30.39311534621932	-97.7474912063269	Churrascaria	8.1	124
2830	North Burnet	30.3925	-97.7355	Cru Wine Bar	49e71bedf964a52079641fe3	30.401997	-97.726415	Wine Bar	8.6	70
